index,source,student_psnr_db,student_ssim,student_mae_normalized,bicubic_psnr_db,bicubic_ssim,bicubic_mae_normalized
1792,/root/autodl-tmp/data/REDS/val_sharp/017/00000091.png,24.045351,0.657223,0.04178917,23.931452,0.649232,0.04223756
1793,/root/autodl-tmp/data/REDS/val_sharp/017/00000092.png,24.060138,0.658166,0.04163549,23.944708,0.650277,0.04208211
1794,/root/autodl-tmp/data/REDS/val_sharp/017/00000093.png,24.016578,0.656614,0.04170613,23.902064,0.648806,0.04213690
1795,/root/autodl-tmp/data/REDS/val_sharp/017/00000094.png,24.022751,0.655921,0.04167662,23.909309,0.648000,0.04211577
1796,/root/autodl-tmp/data/REDS/val_sharp/017/00000095.png,24.050313,0.653544,0.04162457,23.936154,0.645666,0.04206166
1797,/root/autodl-tmp/data/REDS/val_sharp/017/00000096.png,24.096555,0.652283,0.04149011,23.983845,0.644454,0.04191221
1798,/root/autodl-tmp/data/REDS/val_sharp/017/00000097.png,24.267163,0.658872,0.04041359,24.157691,0.651172,0.04081484
1799,/root/autodl-tmp/data/REDS/val_sharp/017/00000098.png,24.300813,0.659386,0.04029219,24.192543,0.651763,0.04069367
1800,/root/autodl-tmp/data/REDS/val_sharp/017/00000099.png,24.264315,0.660576,0.04041685,24.156183,0.652962,0.04081362
1801,/root/autodl-tmp/data/REDS/val_sharp/018/00000000.png,22.911036,0.555893,0.05095967,22.823625,0.547463,0.05141865
1802,/root/autodl-tmp/data/REDS/val_sharp/018/00000001.png,22.946776,0.556607,0.05080575,22.860452,0.548034,0.05126792
1803,/root/autodl-tmp/data/REDS/val_sharp/018/00000002.png,22.925867,0.555522,0.05097735,22.839934,0.547103,0.05142703
1804,/root/autodl-tmp/data/REDS/val_sharp/018/00000003.png,22.933935,0.554906,0.05098670,22.850723,0.546379,0.05143341
1805,/root/autodl-tmp/data/REDS/val_sharp/018/00000004.png,22.904838,0.553297,0.05114675,22.819220,0.544863,0.05159752
1806,/root/autodl-tmp/data/REDS/val_sharp/018/00000005.png,22.941300,0.554079,0.05098988,22.854089,0.545451,0.05145438
1807,/root/autodl-tmp/data/REDS/val_sharp/018/00000006.png,23.030881,0.558051,0.05037708,22.946169,0.549647,0.05081781
1808,/root/autodl-tmp/data/REDS/val_sharp/018/00000007.png,22.999352,0.555871,0.05057802,22.914960,0.547408,0.05101569
1809,/root/autodl-tmp/data/REDS/val_sharp/018/00000008.png,23.023839,0.556840,0.05049510,22.941528,0.548416,0.05092945
1810,/root/autodl-tmp/data/REDS/val_sharp/018/00000009.png,23.073115,0.558068,0.05024121,22.990949,0.549692,0.05067115
